transactionId,date,merchantCode,amountCents
1,2022/10/16,sportcheck,4960
2,2022/10/16,tim_hortons,1751
3,2022/10/16,subway,950
4,2022/10/16,costco,15368
5,2022/10/16,walmart,10000
6,2022/10/16,sportcheck,8372
7,2022/10/16,tim_hortons,731
8,2022/10/16,amazon,4870
9,2022/10/16,tim_hortons,508
10,2022/10/16,sportcheck,1979
11,2022/10/16,tim_hortons,1078
12,2022/10/16,subway,1828
13,2022/10/16,tim_hortons,1248
14,2022/10/16,sportcheck,6431
15,2022/10/16,shoppers,2166
16,2022/10/16,tim_hortons,1614
17,2022/10/16,subway,563
18,2022/10/16,sportcheck,5224
19,2022/10/16,sportcheck,3281
20,2022/10/16,amazon,3571
21,2022/10/16,tim_hortons,1666
22,2022/10/16,sportcheck,3801
23,2022/10/16,subway,1651
24,2022/10/16,costco,12364
25,2022/10/16,tim_hortons,1435
26,2022/10/16,sportcheck,4192
27,2022/10/16,sportcheck,6927
28,2022/10/16,walmart,3770
29,2022/10/16,shoppers,1819
30,2022/10/16,sportcheck,5509
31,2022/10/16,tim_hortons,1365
32,2022/10/16,subway,1102
33,2022/10/16,amazon,3321
34,2022/10/16,sportcheck,5520
35,2022/10/16,tim_hortons,1797
36,2022/10/16,subway,975
37,2022/10/17,sportcheck,1970
38,2022/10/17,tim_hortons,1205
39,2022/10/17,tim_hortons,847
40,2022/10/17,shoppers,1563
41,2022/10/17,walmart,502
42,2022/10/17,sportcheck,4702
43,2022/10/17,sportcheck,6117
44,2022/10/17,tim_hortons,1971
45,2022/10/17,subway,1548
46,2022/10/17,sportcheck,6485
47,2022/10/17,shoppers,1354
48,2022/10/17,tim_hortons,1383
49,2022/10/17,sportcheck,5381
50,2022/10/17,tim_hortons,751
51,2022/10/17,subway,1956
52,2022/10/17,tim_hortons,1879
53,2022/10/17,sportcheck,12469
54,2022/10/17,subway,1411
55,2022/10/17,tim_hortons,677
56,2022/10/17,subway,1263
57,2022/10/17,sportcheck,5048
58,2022/10/17,sportcheck,11777
59,2022/10/17,amazon,5198
60,2022/10/17,tim_hortons,479
61,2022/10/17,sportcheck,6862
62,2022/10/17,subway,1867
63,2022/10/17,costco,9403
64,2022/10/17,tim_hortons,971
65,2022/10/17,tim_hortons,1246
66,2022/10/17,sportcheck,7958
67,2022/10/17,walmart,1971
68,2022/10/17,shoppers,1135
69,2022/10/17,sportcheck,11805
70,2022/10/17,tim_hortons,527
71,2022/10/17,subway,1582
72,2022/10/17,amazon,3983
73,2022/10/17,sportcheck,12709
74,2022/10/17,tim_hortons,971
75,2022/10/17,subway,1632
76,2022/10/17,sportcheck,11621
77,2022/10/17,tim_hortons,481
78,2022/10/17,tim_hortons,1866
79,2022/10/17,shoppers,679
80,2022/10/17,walmart,1632
81,2022/10/17,sportcheck,11871
82,2022/10/17,tim_hortons,1646
83,2022/10/17,tim_hortons,1934
84,2022/10/17,subway,1634
85,2022/10/17,sportcheck,12624
86,2022/10/17,shoppers,2012
87,2022/10/17,tim_hortons,1790
88,2022/10/17,sportcheck,12265
89,2022/10/17,tim_hortons,936
90,2022/10/17,tim_hortons,1358
91,2022/10/17,subway,1925
92,2022/10/17,sportcheck,14210
93,2022/10/17,tim_hortons,1185
94,2022/10/17,tim_hortons,1585
95,2022/10/17,shoppers,1324
96,2022/10/17,walmart,2398
97,2022/10/17,sportcheck,9765
98,2022/10/17,sportcheck,4002
99,2022/10/17,tim_hortons,1105
100,2022/10/17,subway,1203
